	y_pred	y_test
0	1	0
1	1	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	2	0
9	0	0
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	0	0
17	0	0
18	2	0
19	0	0
20	2	0
21	2	0
22	2	0
23	1	0
24	1	0
25	1	0
26	1	1
27	1	0
28	1	0
29	0	0
30	0	0
31	0	0
32	2	0
33	2	0
34	2	0
35	0	0
36	2	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	1	0
45	1	0
46	1	0
47	1	0
48	0	0
49	0	0
50	0	0
51	2	0
52	2	0
53	2	0
54	2	0
55	2	0
56	2	0
57	2	0
58	2	0
59	2	0
60	2	0
61	2	0
62	2	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	2	0
80	0	0
81	2	0
82	2	0
83	2	0
84	2	0
85	2	0
86	2	0
87	2	0
88	2	0
89	2	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	1	0
96	1	0
97	1	0
98	1	0
99	1	0
100	1	0
101	1	0
102	1	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	2
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	2	0
126	2	0
127	2	0
128	2	0
129	2	0
130	2	0
131	2	0
132	2	0
133	2	0
134	2	0
135	2	0
136	1	0
137	1	0
138	1	0
139	1	0
140	1	0
141	1	0
142	1	0
143	1	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	2	0
151	2	0
152	2	0
153	2	1
154	2	0
155	2	0
156	2	0
157	1	0
158	1	0
159	1	0
160	1	0
161	1	0
162	1	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	2	0
170	2	0
171	2	0
172	2	0
173	2	0
174	2	0
175	2	0
176	2	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	2	0
187	2	0
188	2	0
189	2	0
190	2	0
191	2	0
192	2	0
193	2	0
194	2	0
195	2	0
196	2	0
197	2	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	1	0
