	Dividends_x	Stock Splits	Date	Dividends_y	contractSymbol	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
0	0.33	0.0	2019-01-03	0.33													
1	0.35	0.0	2019-04-04	0.35													
2	0.35	0.0	2019-07-03	0.35													
3	0.35	0.0	2019-10-03	0.35													
4	0.35	0.0	2020-01-02	0.35													
5	0.36	0.0	2020-04-02	0.36													
6	0.36	0.0	2020-07-02	0.36													
7	0.36	0.0	2020-10-01	0.36													
8	0.36	0.0	2021-01-04	0.36													
9	0.37	0.0	2021-04-05	0.37													
10	0.37	0.0	2021-07-02	0.37													
11			2024-08-12		CSCO240920P00025000	25.0	0.03	0.0	0.0	0.0	0.0	1.0	10.0	0.500005	False	REGULAR	USD
12			2024-08-12		CSCO240920P00065000	65.0	20.0	15.8	16.75	0.0	0.0	2.0	0.0	3.0175805810546876	True	REGULAR	USD
13			2024-05-16		CSCO240920P00027500	27.5	0.05	0.0	0.13	0.0	0.0	6.0	7.0	2.7812530468750003	False	REGULAR	USD
14			2024-08-09		CSCO240920P00030000	30.0	0.19	0.0	0.13	0.0	0.0	6.0	67.0	2.4218789453125	False	REGULAR	USD
15			2024-08-14		CSCO240920P00032500	32.5	0.02	0.0	0.63	0.0	0.0	11.0	794.0	2.7968780078125004	False	REGULAR	USD
16			2024-09-13		CSCO240920P00035000	35.0	0.09	0.0	0.0	0.0	0.0	5.0	12693.0	0.500005	False	REGULAR	USD
17			2024-09-13		CSCO240920C00035000	35.0	15.0	0.0	0.0	0.0	0.0	50.0	58.0	1.0000000000000003e-05	True	REGULAR	USD
18			2024-09-13		CSCO240920C00040000	40.0	9.99	0.0	0.0	0.0	0.0	5.0	346.0	1.0000000000000003e-05	True	REGULAR	USD
19			2024-09-13		CSCO240920C00045500	45.5	4.45	0.0	0.0	0.0	0.0	10.0	10.0	1.0000000000000003e-05	True	REGULAR	USD
20			2024-09-13		CSCO240920C00047000	47.0	2.98	0.0	0.0	0.0	0.0	1.0	74.0	1.0000000000000003e-05	True	REGULAR	USD
21			2024-09-11		CSCO240920P00036000	36.0	0.01		0.0	0.0	0.0		25.0	0.500005	False	REGULAR	USD
22			2024-09-11		CSCO240920P00037000	37.0	0.01		0.0	0.0	0.0		33.0	0.500005	False	REGULAR	USD
23			2024-09-11		CSCO240920P00041000	41.0	0.01	0.0	0.0	0.0	0.0	1000.0	1001.0	0.500005	False	REGULAR	USD
24			2024-09-11		CSCO240920P00042000	42.0	0.01	0.0	0.0	0.0	0.0	1570.0	1600.0	0.500005	False	REGULAR	USD
25			2024-09-11		CSCO240920C00044500	44.5	3.6	0.0	0.0	0.0	0.0		4.0	1.0000000000000003e-05	True	REGULAR	USD
26			2024-09-10		CSCO240920P00037500	37.5	0.03	0.0	0.0	0.0	0.0	1.0	1672.0	0.500005	False	REGULAR	USD
27			2024-09-10		CSCO240920C00039000	39.0	9.95	0.0	0.0	0.0	0.0		22.0	1.0000000000000003e-05	True	REGULAR	USD
28			2024-09-09		CSCO240920P00039000	39.0	0.02		0.0	0.0	0.0		1.0	0.500005	False	REGULAR	USD
29			2024-09-09		CSCO240920C00056000	56.0	0.01	0.0	0.0	0.0	0.0	68.0	150.0	0.2500075	False	REGULAR	USD
