	Dividends_x	Stock Splits	Date	Dividends_y	Holder_holder	Shares_holder	% Out_holder	Value_holder
0	0.15	0.0	2019-01-30	0.15				
1	0.15	0.0	2019-04-23	0.15				
2	0.15	0.0	2019-07-22	0.15				
3	0.15	0.0	2019-10-21	0.15				
4	0.15	0.0	2020-01-29	0.15				
5	0.1	0.0	2021-11-18	0.1				
6	0.1	0.0	2022-01-28	0.1				
7	0.1	0.0	2022-04-25	0.1				
8	0.15	0.0	2022-08-10	0.15				
9	0.15	0.0	2022-11-14	0.15				
10	0.8	0.0	2023-02-10	0.8				
11	0.15	0.0	2023-04-25	0.15				
12	0.15	0.0	2023-07-24	0.15				
13	0.15	0.0	2023-10-31	0.15				
14	0.33	0.0	2024-02-15	0.33				
15	0.15	0.0	2024-05-07	0.15				
16	0.15	0.0	2024-08-07	0.15				
17			2024-06-30		Vanguard Group Inc	343.16M	0.08789999999999999	3706139275.0
18			2024-06-30		Blackrock Inc.	281.58M	0.0721	3041058124.0
19			2024-06-30		State Street Corporation	170.55M	0.0437	1841940129.0
20			2024-06-30		Newport Trust Company, LLC	154.2M	0.0395	1665312919.0
21			2024-06-30		Charles Schwab Investment Management, Inc.	117.34M	0.0301	1267255779.0
22			2024-06-30		Geode Capital Management, LLC	80.65M	0.0207	871046810.0
23			2024-06-30		Fisher Asset Management, LLC	67.35M	0.0172	727356706.0
24			2024-06-30		Morgan Stanley	52.74M	0.013500000000000002	569601546.0
25			2024-06-30		Arrowstreet Capital, Limited Partnership	41.22M	0.0106	445182077.0
26			2024-06-30		Norges Bank Investment Management	38.6M	0.009899999999999999	416890051.0
27			2024-06-30		Vanguard Total Stock Market Index Fund	124.05M	0.0318	1339738857.0
28			2024-06-30		Vanguard 500 Index Fund	100.65M	0.0258	1087000179.0
29			2024-06-30		Vanguard Index-Value Index Fund	32.13M	0.008199999999999999	347024990.0
30			2024-06-30		Vanguard Institutional Index Fund-Institutional Index Fund	25.48M	0.006500000000000001	275206112.0
31			2024-05-31		Schwab Strategic Tr-Schwab U.S. Dividend Equity ETF	90.71M	0.0232	979621166.0
32			2024-07-31		Fidelity 500 Index Fund	47.94M	0.0123	517727860.0
33			2024-07-31		iShares Core S&P 500 ETF	42.44M	0.0109	458382010.0
34			2024-07-31		iShares Select Dividend ETF	19.78M	0.0051	213659600.0
35			2024-08-31		SPDR S&P 500 ETF Trust	46.29M	0.011899999999999999	499962324.0
36			2024-08-31		Select Sector SPDR Fund-Consumer Discretionary	19.94M	0.0051	215347500.0
