	Dividends_x	Stock Splits	Date	Dividends_y	Holder_holder	Shares_holder	% Out_holder	Value_holder
0	0.0	1.04	2019-02-26					
1	0.049841	0.0	2019-03-08	0.049841				
2	0.049841	0.0	2019-06-28	0.049841				
3	0.049841	0.0	2019-09-13	0.049841				
4	0.049841	0.0	2019-12-20	0.049841				
5	0.049841	0.0	2020-03-06	0.049841				
6	0.049841	0.0	2020-06-26	0.049841				
7	0.049841	0.0	2020-09-25	0.049841				
8	0.049841	0.0	2020-12-18	0.049841				
9	0.049841	0.0	2021-03-05	0.049841				
10	0.049841	0.0	2021-06-25	0.049841				
11	0.0	0.125	2021-08-02					
12	0.049841	0.0	2021-09-24	0.049841				
13	0.049841	0.0	2021-12-20	0.049841				
14	0.049841	0.0	2022-03-07	0.049841				
15	0.049841	0.0	2022-06-27	0.049841				
16	0.049841	0.0	2022-09-26	0.049841				
17	0.049841	0.0	2022-12-14	0.049841				
18	0.0	1.281	2023-01-04					
19	0.063847	0.0	2023-03-06	0.063847				
20	0.063847	0.0	2023-07-10	0.063847				
21	0.063847	0.0	2023-09-25	0.063847				
22	0.063847	0.0	2023-12-27	0.063847				
23	0.0	1.253	2024-04-02					
24	0.28	0.0	2024-04-12	0.28				
25	0.28	0.0	2024-07-11	0.28				
26			2024-06-30		Vanguard Group Inc	89.33M	0.0824	16208221031.0
27			2024-06-30		Blackrock Inc.	79.74M	0.0735	14467859414.0
28			2024-06-30		FMR, LLC	67.65M	0.062400000000000004	12275261494.0
29			2024-06-30		Capital Research Global Investors	63.7M	0.0587	11557617295.0
30			2024-06-30		Capital International Investors	52.16M	0.0481	9464271411.0
31			2024-06-30		TCI Fund Management Ltd	48.18M	0.0444	8741847539.0
32			2024-06-30		State Street Corporation	42.42M	0.0391	7697507008.0
33			2024-06-30		Price (T.Rowe) Associates Inc	26.82M	0.024700000000000003	4865917860.0
34			2024-06-30		Capital World Investors	22.59M	0.0208	4099494969.0
35			2024-06-30		Geode Capital Management, LLC	22.43M	0.0207	4070005706.0
36			2024-06-30		Vanguard Total Stock Market Index Fund	32.85M	0.030299999999999997	5960230778.0
37			2024-06-30		Growth Fund Of America Inc	28.79M	0.0265	5223232012.0
38			2024-06-30		Vanguard 500 Index Fund	28.09M	0.0259	5097354018.0
39			2024-06-30		Investment Company Of America	27.73M	0.0256	5031696143.0
40			2024-06-30		American Mutual Fund Inc	16.38M	0.0151	2971782031.0
41			2024-06-30		Washington Mutual Investors Fund	13.06M	0.012	2370026646.0
42			2024-06-30		Capital World Growth and Income Fund	11.22M	0.0103	2035701851.0
43			2024-07-31		Fidelity 500 Index Fund	13.38M	0.0123	2427831254.0
44			2024-07-31		iShares Core S&P 500 ETF	11.85M	0.0109	2149497210.0
45			2024-08-31		SPDR S&P 500 ETF Trust	12.98M	0.012	2354509353.0
