	Dividends_x	Stock Splits	Date	Dividends_y	contractSymbol	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
0	1.57	0.0	2019-02-07	1.57													
1	1.62	0.0	2019-05-09	1.62													
2	1.62	0.0	2019-08-08	1.62													
3	1.62	0.0	2019-11-07	1.62													
4	1.62	0.0	2020-02-07	1.62													
5	1.63	0.0	2020-05-07	1.63													
6	1.63	0.0	2020-08-07	1.63													
7	1.63	0.0	2020-11-09	1.63													
8	1.63	0.0	2021-02-09	1.63													
9	1.64	0.0	2021-05-07	1.64													
10	1.64	0.0	2021-08-09	1.64													
11	1.64	0.0	2021-11-09	1.64													
12	1.64	0.0	2022-02-10	1.64													
13			2024-06-13		IBM240920P00075000	75.0	0.01	0.0	1.27	0.0	0.0	2.0	5.0	5.181644147949219	False	REGULAR	USD
14			2024-06-14		IBM240920P00080000	80.0	0.01	0.0	2.13	0.0	0.0	2.0	111.0	5.3476595654296855	False	REGULAR	USD
15			2024-07-22		IBM240920P00085000	85.0	0.04	0.0	0.37	0.0	0.0	1.0	13.0	3.8593753515625	False	REGULAR	USD
16			2024-07-22		IBM240920C00275000	275.0	0.01	0.0	0.37	0.0	0.0		4.0	1.0800827246093752	False	REGULAR	USD
17			2024-09-12		IBM240920P00090000	90.0	0.18	0.0	0.0	0.0	0.0	20.0	46.0	0.500005	False	REGULAR	USD
18			2024-09-12		IBM240920P00170000	170.0	0.02	0.0	0.0	0.0	0.0	30.0	2776.0	0.500005	False	REGULAR	USD
19			2024-09-12		IBM240920C00182500	182.5	30.1	0.0	0.0	0.0	0.0	2.0	4.0	1.0000000000000003e-05	True	REGULAR	USD
20			2024-07-10		IBM240920P00095000	95.0	0.09	0.01	0.78	0.0	0.0	2.0	97.0	3.81250046875	False	REGULAR	USD
21			2024-08-19		IBM240920P00100000	100.0	0.07	0.0	0.0	0.0	0.0	2.0	22.0	0.500005	False	REGULAR	USD
22			2024-08-19		IBM240920P00105000	105.0	0.09	0.0	0.0	0.0	0.0	2.0	95.0	0.500005	False	REGULAR	USD
23			2024-08-19		IBM240920P00265000	265.0	69.99	0.0	0.0	0.0	0.0	1.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
24			2024-08-09		IBM240920P00110000	110.0	0.05	0.0	0.37	0.0	0.0	1.0	173.0	2.86719033203125	False	REGULAR	USD
25			2024-08-05		IBM240920P00115000	115.0	0.13	0.0	0.38	0.0	0.0	1.0	199.0	2.7031282421875	False	REGULAR	USD
26			2024-09-04		IBM240920P00120000	120.0	0.19	0.0	0.0	0.0	0.0	1.0	144.0	0.500005	False	REGULAR	USD
27			2024-08-26		IBM240920P00125000	125.0	0.01	0.0	0.0	0.0	0.0	2.0	325.0	0.500005	False	REGULAR	USD
28			2024-08-26		IBM240920C00120000	120.0	78.55	0.0	0.0	0.0	0.0	1.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
29			2024-09-09		IBM240920P00130000	130.0	0.01	0.0	0.0	0.0	0.0	3.0	1514.0	0.500005	False	REGULAR	USD
30			2024-09-09		IBM240920C00150000	150.0	53.19	0.0	0.0	0.0	0.0	1.0	5.0	1.0000000000000003e-05	True	REGULAR	USD
31			2024-09-06		IBM240920P00135000	135.0	0.02	0.0	0.0	0.0	0.0	5.0	1819.0	0.500005	False	REGULAR	USD
32			2024-09-06		IBM240920P00182500	182.5	0.16	0.0	0.0	0.0	0.0	6.0	64.0	0.2500075	False	REGULAR	USD
33			2024-09-11		IBM240920P00140000	140.0	0.01	0.0	0.0	0.0	0.0	13.0	501.0	0.500005	False	REGULAR	USD
34			2024-09-11		IBM240920P00145000	145.0	0.01	0.0	0.0	0.0	0.0	2.0	380.0	0.500005	False	REGULAR	USD
35			2024-09-16		IBM240920P00150000	150.0	0.01	0.0	0.0	0.0	0.0	15.0	2847.0	0.500005	False	REGULAR	USD
36			2024-09-16		IBM240920P00155000	155.0	0.01	0.0	0.0	0.0	0.0	1.0	1137.0	0.500005	False	REGULAR	USD
37			2024-09-16		IBM240920P00172500	172.5	0.01	0.0	0.0	0.0	0.0	49.0	84.0	0.500005	False	REGULAR	USD
38			2024-09-16		IBM240920P00175000	175.0	0.02	0.0	0.0	0.0	0.0	3.0	1830.0	0.500005	False	REGULAR	USD
39			2024-09-16		IBM240920P00180000	180.0	0.02	0.0	0.0	0.0	0.0	48.0	1474.0	0.500005	False	REGULAR	USD
40			2024-09-16		IBM240920P00185000	185.0	0.03	0.0	0.0	0.0	0.0	10.0	1863.0	0.2500075	False	REGULAR	USD
41			2024-09-16		IBM240920P00190000	190.0	0.04	0.0	0.0	0.0	0.0	17.0	2487.0	0.2500075	False	REGULAR	USD
42			2024-09-16		IBM240920P00192500	192.5	0.02	0.0	0.0	0.0	0.0	20.0	372.0	0.2500075	False	REGULAR	USD
43			2024-09-16		IBM240920P00195000	195.0	0.02	0.0	0.0	0.0	0.0	42.0	1217.0	0.2500075	False	REGULAR	USD
44			2024-09-16		IBM240920P00197500	197.5	0.03	0.0	0.0	0.0	0.0	24.0	324.0	0.2500075	False	REGULAR	USD
45			2024-09-16		IBM240920P00200000	200.0	0.03	0.0	0.0	0.0	0.0	80.0	0.0	0.12500875	False	REGULAR	USD
46			2024-09-16		IBM240920P00202500	202.5	0.08	0.0	0.0	0.0	0.0	28.0	779.0	0.12500875	False	REGULAR	USD
47			2024-09-16		IBM240920P00205000	205.0	0.08	0.0	0.0	0.0	0.0	169.0	0.0	0.12500875	False	REGULAR	USD
48			2024-09-16		IBM240920P00207500	207.5	0.16	0.0	0.0	0.0	0.0	185.0	361.0	0.12500875	False	REGULAR	USD
49			2024-09-16		IBM240920P00210000	210.0	0.29	0.0	0.0	0.0	0.0	604.0	1298.0	0.062509375	False	REGULAR	USD
50			2024-09-16		IBM240920P00212500	212.5	0.55	0.0	0.0	0.0	0.0	268.0	277.0	0.062509375	False	REGULAR	USD
51			2024-09-16		IBM240920P00215000	215.0	1.17	0.0	0.0	0.0	0.0	453.0	0.0	0.0312596875	False	REGULAR	USD
52			2024-09-16		IBM240920P00217500	217.5	2.13	0.0	0.0	0.0	0.0	159.0	154.0	1.0000000000000003e-05	True	REGULAR	USD
53			2024-09-16		IBM240920P00220000	220.0	4.03	0.0	0.0	0.0	0.0	31.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
54			2024-09-16		IBM240920P00222500	222.5	5.35	0.0	0.0	0.0	0.0	2.0	2.0	1.0000000000000003e-05	True	REGULAR	USD
55			2024-09-16		IBM240920C00175000	175.0	42.5	0.0	0.0	0.0	0.0	5.0	1715.0	1.0000000000000003e-05	True	REGULAR	USD
56			2024-09-16		IBM240920C00180000	180.0	37.15	0.0	0.0	0.0	0.0	9.0	1276.0	1.0000000000000003e-05	True	REGULAR	USD
57			2024-09-16		IBM240920C00185000	185.0	32.2	0.0	0.0	0.0	0.0	33.0	2577.0	1.0000000000000003e-05	True	REGULAR	USD
58			2024-09-16		IBM240920C00190000	190.0	27.22	0.0	0.0	0.0	0.0	30.0	4028.0	1.0000000000000003e-05	True	REGULAR	USD
59			2024-09-16		IBM240920C00192500	192.5	22.7	0.0	0.0	0.0	0.0	1.0	71.0	1.0000000000000003e-05	True	REGULAR	USD
60			2024-09-16		IBM240920C00195000	195.0	22.17	0.0	0.0	0.0	0.0	97.0	4954.0	1.0000000000000003e-05	True	REGULAR	USD
61			2024-09-16		IBM240920C00200000	200.0	17.34	0.0	0.0	0.0	0.0	150.0	3360.0	1.0000000000000003e-05	True	REGULAR	USD
62			2024-09-16		IBM240920C00202500	202.5	14.39	0.0	0.0	0.0	0.0	7.0	657.0	1.0000000000000003e-05	True	REGULAR	USD
63			2024-09-16		IBM240920C00205000	205.0	12.53	0.0	0.0	0.0	0.0	154.0	2486.0	1.0000000000000003e-05	True	REGULAR	USD
