	Dividends_x	Stock Splits	Date	Dividends_y	Holder_holder	Shares_holder	% Out_holder	Value_holder
0	3.25	0.0	2019-05-23	3.25				
1	0.9	0.0	2020-07-09	0.9				
2	1.35	0.0	2021-04-01	1.35				
3	5.0	0.0	2022-05-02	5.0				
4	5.2	0.0	2023-05-04	5.2				
5	5.3	0.0	2024-05-09	5.3				
6			2024-06-30		Pacer Advisors, Inc.	551.79k	0.0005	31705910.0
7			2024-06-30		Boston Common Asset Management, LLC	332.02k	0.0003	19077696.0
8			2024-06-30		MassMutual Trust Company FSB/ADV	85	0.0	4884.0
9			2024-06-30		Old National Bancorp/IN/	3.9k	0.0	224093.0
10			2024-06-30		Reik & Co., Llc	10.96k	0.0	629474.0
11			2024-06-30		Yousif Capital Management, LLC	17.18k	0.0	987335.0
12			2024-06-30		Main Street Group, Ltd	400	0.0	22983.0
13			2024-06-30		Motco	49	0.0	2815.0
14			2024-06-30		PNC Financial Services Group, Inc.	221	0.0	12698.0
15			2024-06-30		Estabrook Capital Management	266	0.0	15284.0
16			2024-06-30		Oakmark International Fund	7.03M	0.0066	403866509.0
17			2024-06-30		Vanguard Tax Managed Fund-Vanguard Developed Markets Index Fund	7.04M	0.0066	404634864.0
18			2024-06-30		Europacific Growth Fund	3.82M	0.0036	219382276.0
19			2024-04-30		Vanguard International Stock Index-Total Intl Stock Indx	11.86M	0.0111	681588268.0
20			2024-04-30		DFA International Value Series	2.41M	0.0023	138416598.0
21			2024-04-30		Vanguard International Stock Index-Vanguard European Stock Index	1.77M	0.0017000000000000001	101959780.0
22			2024-04-30		Vanguard Intl Equity Index Fds-FTSE All World ex U.S. Index Fund	1.71M	0.0016	98400535.0
23			2024-07-31		iShares Core MSCI EAFE ETF	4.85M	0.0045000000000000005	278962089.0
24			2024-07-31		iShares MSCI Eafe ETF	2.62M	0.0025	150670632.0
25			2024-07-31		Fidelity International Index Fund	2.43M	0.0023	139498110.0
