	Dividends_x	Stock Splits	Date	Dividends_y	contractSymbol	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
0	0.46	0.0	2019-02-20	0.46													
1	0.46	0.0	2019-05-15	0.46													
2	0.46	0.0	2019-08-14	0.46													
3	0.51	0.0	2019-11-20	0.51													
4	0.51	0.0	2020-02-19	0.51													
5	0.51	0.0	2020-05-20	0.51													
6	0.51	0.0	2020-08-19	0.51													
7	0.56	0.0	2020-11-18	0.56													
8	0.56	0.0	2021-02-17	0.56													
9	0.56	0.0	2021-05-19	0.56													
10			2024-09-16		MSFT240920P00160000	160.0	0.01	0.0	0.0	0.0	0.0	4.0	1880.0	0.500005	False	REGULAR	USD
11			2024-09-16		MSFT240920P00235000	235.0	0.01	0.0	0.0	0.0	0.0	83.0	405.0	0.500005	False	REGULAR	USD
12			2024-09-16		MSFT240920P00240000	240.0	0.01	0.0	0.0	0.0	0.0	3.0	428.0	0.500005	False	REGULAR	USD
13			2024-09-16		MSFT240920P00245000	245.0	0.01	0.0	0.0	0.0	0.0	5.0	753.0	0.500005	False	REGULAR	USD
14			2024-09-16		MSFT240920P00255000	255.0	0.01	0.0	0.0	0.0	0.0	6.0	483.0	0.500005	False	REGULAR	USD
15			2024-09-16		MSFT240920P00270000	270.0	0.01	0.0	0.0	0.0	0.0	4.0	0.0	0.500005	False	REGULAR	USD
16			2024-09-16		MSFT240920P00275000	275.0	0.01	0.0	0.0	0.0	0.0	14.0	0.0	0.500005	False	REGULAR	USD
17			2024-09-16		MSFT240920P00290000	290.0	0.01	0.0	0.0	0.0	0.0	13.0	1439.0	0.500005	False	REGULAR	USD
18			2024-09-16		MSFT240920P00300000	300.0	0.01	0.0	0.0	0.0	0.0	1.0	5233.0	0.500005	False	REGULAR	USD
19			2024-09-16		MSFT240920P00305000	305.0	0.01	0.0	0.0	0.0	0.0	17.0	1332.0	0.500005	False	REGULAR	USD
20			2024-09-16		MSFT240920P00310000	310.0	0.01	0.0	0.0	0.0	0.0	1.0	0.0	0.500005	False	REGULAR	USD
21			2024-09-16		MSFT240920P00315000	315.0	0.01	0.0	0.0	0.0	0.0	1.0	0.0	0.500005	False	REGULAR	USD
22			2024-09-16		MSFT240920P00320000	320.0	0.02	0.0	0.0	0.0	0.0	293.0	3000.0	0.500005	False	REGULAR	USD
23			2024-09-16		MSFT240920P00325000	325.0	0.01	0.0	0.0	0.0	0.0	593.0	0.0	0.500005	False	REGULAR	USD
24			2024-09-16		MSFT240920P00330000	330.0	0.01	0.0	0.0	0.0	0.0	1227.0	4313.0	0.500005	False	REGULAR	USD
25			2024-09-16		MSFT240920P00335000	335.0	0.02	0.0	0.0	0.0	0.0	124.0	2559.0	0.500005	False	REGULAR	USD
26			2024-09-16		MSFT240920P00340000	340.0	0.02	0.0	0.0	0.0	0.0	107.0	0.0	0.500005	False	REGULAR	USD
27			2024-09-16		MSFT240920P00345000	345.0	0.03	0.0	0.0	0.0	0.0	25.0	0.0	0.500005	False	REGULAR	USD
28			2024-09-16		MSFT240920P00350000	350.0	0.03	0.0	0.0	0.0	0.0	377.0	6050.0	0.500005	False	REGULAR	USD
29			2024-09-16		MSFT240920P00355000	355.0	0.05	0.0	0.0	0.0	0.0	105.0	2307.0	0.500005	False	REGULAR	USD
30			2024-09-16		MSFT240920P00360000	360.0	0.05	0.0	0.0	0.0	0.0	738.0	10143.0	0.500005	False	REGULAR	USD
31			2024-09-16		MSFT240920P00365000	365.0	0.05	0.0	0.0	0.0	0.0	126.0	5367.0	0.2500075	False	REGULAR	USD
32			2024-09-16		MSFT240920P00370000	370.0	0.06	0.0	0.0	0.0	0.0	291.0	13565.0	0.2500075	False	REGULAR	USD
33			2024-09-16		MSFT240920P00375000	375.0	0.07	0.0	0.0	0.0	0.0	474.0	5069.0	0.2500075	False	REGULAR	USD
34			2024-09-16		MSFT240920P00380000	380.0	0.09	0.0	0.0	0.0	0.0	303.0	10793.0	0.2500075	False	REGULAR	USD
35			2024-09-16		MSFT240920P00382500	382.5	0.1	0.0	0.0	0.0	0.0	65.0	1199.0	0.2500075	False	REGULAR	USD
36			2024-09-16		MSFT240920P00385000	385.0	0.1	0.0	0.0	0.0	0.0	505.0	5365.0	0.2500075	False	REGULAR	USD
37			2024-09-16		MSFT240920P00387500	387.5	0.14	0.0	0.0	0.0	0.0	36.0	885.0	0.2500075	False	REGULAR	USD
38			2024-09-16		MSFT240920P00390000	390.0	0.12	0.0	0.0	0.0	0.0	655.0	15105.0	0.2500075	False	REGULAR	USD
39			2024-09-16		MSFT240920P00392500	392.5	0.14	0.0	0.0	0.0	0.0	343.0	1192.0	0.2500075	False	REGULAR	USD
40			2024-09-16		MSFT240920P00395000	395.0	0.15	0.0	0.0	0.0	0.0	387.0	15234.0	0.2500075	False	REGULAR	USD
41			2024-09-16		MSFT240920P00397500	397.5	0.15	0.0	0.0	0.0	0.0	425.0	910.0	0.2500075	False	REGULAR	USD
42			2024-09-16		MSFT240920P00400000	400.0	0.18	0.0	0.0	0.0	0.0	1709.0	18218.0	0.2500075	False	REGULAR	USD
43			2024-09-16		MSFT240920P00402500	402.5	0.21	0.0	0.0	0.0	0.0	434.0	0.0	0.12500875	False	REGULAR	USD
44			2024-09-16		MSFT240920P00405000	405.0	0.24	0.0	0.0	0.0	0.0	1294.0	15315.0	0.12500875	False	REGULAR	USD
45			2024-09-16		MSFT240920P00407500	407.5	0.3	0.0	0.0	0.0	0.0	555.0	1380.0	0.12500875	False	REGULAR	USD
46			2024-09-16		MSFT240920P00410000	410.0	0.35	0.0	0.0	0.0	0.0	3298.0	7235.0	0.12500875	False	REGULAR	USD
47			2024-09-16		MSFT240920P00412500	412.5	0.44	0.0	0.0	0.0	0.0	777.0	0.0	0.12500875	False	REGULAR	USD
48			2024-09-16		MSFT240920P00415000	415.0	0.57	0.0	0.0	0.0	0.0	1880.0	0.0	0.12500875	False	REGULAR	USD
49			2024-09-16		MSFT240920P00417500	417.5	0.77	0.0	0.0	0.0	0.0	1072.0	1808.0	0.12500875	False	REGULAR	USD
50			2024-09-16		MSFT240920P00420000	420.0	1.1	0.0	0.0	0.0	0.0	6880.0	7025.0	0.062509375	False	REGULAR	USD
51			2024-09-16		MSFT240920P00422500	422.5	1.51	0.0	0.0	0.0	0.0	4721.0	2605.0	0.062509375	False	REGULAR	USD
52			2024-09-16		MSFT240920P00425000	425.0	2.11	0.0	0.0	0.0	0.0	3670.0	7868.0	0.062509375	False	REGULAR	USD
