	Dividends_x	Stock Splits	Date	Dividends_y	contractSymbol	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
0	0.04	0.0	2019-02-28	0.04													
1	0.04	0.0	2019-05-30	0.04													
2	0.04	0.0	2019-08-28	0.04													
3	0.04	0.0	2019-11-27	0.04													
4	0.04	0.0	2020-02-27	0.04													
5	0.04	0.0	2020-06-04	0.04													
6	0.04	0.0	2020-09-01	0.04													
7	0.04	0.0	2020-12-03	0.04													
8	0.04	0.0	2021-03-09	0.04													
9	0.04	0.0	2021-06-09	0.04													
10	0.0	4.0	2021-07-20														
11			2024-09-16		NVDA240920P00000500	0.5	0.01	0.0	0.0	0.0	0.0	21.0	55521.0	0.500005	False	REGULAR	USD
12			2024-09-16		NVDA240920P00040000	40.0	0.01	0.0	0.0	0.0	0.0	1.0	37725.0	0.500005	False	REGULAR	USD
13			2024-09-16		NVDA240920P00046000	46.0	0.01	0.0	0.0	0.0	0.0	9.0	10834.0	0.500005	False	REGULAR	USD
14			2024-09-16		NVDA240920P00049500	49.5	0.01	0.0	0.0	0.0	0.0	30.0	2719.0	0.500005	False	REGULAR	USD
15			2024-09-16		NVDA240920P00050000	50.0	0.01	0.0	0.0	0.0	0.0	12.0	22905.0	1.000005	False	REGULAR	USD
16			2024-09-16		NVDA240920P00051000	51.0	0.01	0.0	0.0	0.0	0.0	10.0	2620.0	1.000005	False	REGULAR	USD
17			2024-09-16		NVDA240920P00051500	51.5	0.01	0.0	0.0	0.0	0.0	20.0	2623.0	0.500005	False	REGULAR	USD
18			2024-09-16		NVDA240920P00052000	52.0	0.01	0.0	0.0	0.0	0.0	10.0	8438.0	0.500005	False	REGULAR	USD
19			2024-09-16		NVDA240920P00052500	52.5	0.01	0.0	0.0	0.0	0.0	25.0	7846.0	0.500005	False	REGULAR	USD
20			2024-09-16		NVDA240920P00053500	53.5	0.01	0.0	0.0	0.0	0.0	10.0	10496.0	0.500005	False	REGULAR	USD
21			2024-09-16		NVDA240920P00054000	54.0	0.01	0.0	0.0	0.0	0.0	14.0	9444.0	0.500005	False	REGULAR	USD
22			2024-09-16		NVDA240920P00054500	54.5	0.01	0.0	0.0	0.0	0.0	40.0	5481.0	0.500005	False	REGULAR	USD
23			2024-09-16		NVDA240920P00055000	55.0	0.01	0.0	0.0	0.0	0.0	29.0	17521.0	0.500005	False	REGULAR	USD
24			2024-09-16		NVDA240920P00056500	56.5	0.01	0.0	0.0	0.0	0.0	9.0	4645.0	0.500005	False	REGULAR	USD
25			2024-09-16		NVDA240920P00057000	57.0	0.01	0.0	0.0	0.0	0.0	14.0	7197.0	0.500005	False	REGULAR	USD
26			2024-09-16		NVDA240920P00057500	57.5	0.01	0.0	0.0	0.0	0.0	27.0	26427.0	0.500005	False	REGULAR	USD
27			2024-09-16		NVDA240920P00058000	58.0	0.01	0.0	0.0	0.0	0.0	1.0	9796.0	0.500005	False	REGULAR	USD
28			2024-09-16		NVDA240920P00058500	58.5	0.01	0.0	0.0	0.0	0.0	2.0	10873.0	0.500005	False	REGULAR	USD
29			2024-09-16		NVDA240920P00059000	59.0	0.01	0.0	0.0	0.0	0.0	2.0	6416.0	0.500005	False	REGULAR	USD
30			2024-09-16		NVDA240920P00059500	59.5	0.01	0.0	0.0	0.0	0.0	1.0	4269.0	0.500005	False	REGULAR	USD
31			2024-09-16		NVDA240920P00060000	60.0	0.01	0.0	0.0	0.0	0.0	92.0	42512.0	0.500005	False	REGULAR	USD
32			2024-09-16		NVDA240920P00060500	60.5	0.01	0.0	0.0	0.0	0.0	55.0	6490.0	0.500005	False	REGULAR	USD
33			2024-09-16		NVDA240920P00061000	61.0	0.01	0.0	0.0	0.0	0.0	74.0	8195.0	0.500005	False	REGULAR	USD
34			2024-09-16		NVDA240920P00061500	61.5	0.01	0.0	0.0	0.0	0.0	21.0	4956.0	0.500005	False	REGULAR	USD
35			2024-09-16		NVDA240920P00062000	62.0	0.01	0.0	0.0	0.0	0.0	22.0	13752.0	0.500005	False	REGULAR	USD
36			2024-09-16		NVDA240920P00062500	62.5	0.01	0.0	0.0	0.0	0.0	1.0	6807.0	0.500005	False	REGULAR	USD
37			2024-09-16		NVDA240920P00063000	63.0	0.01	0.0	0.0	0.0	0.0	4.0	12787.0	0.500005	False	REGULAR	USD
38			2024-09-16		NVDA240920P00063500	63.5	0.01	0.0	0.0	0.0	0.0	402.0	7280.0	0.500005	False	REGULAR	USD
39			2024-09-16		NVDA240920P00064000	64.0	0.01	0.0	0.0	0.0	0.0	113.0	6271.0	0.500005	False	REGULAR	USD
40			2024-09-16		NVDA240920P00064500	64.5	0.01	0.0	0.0	0.0	0.0	29.0	9468.0	0.500005	False	REGULAR	USD
41			2024-09-16		NVDA240920P00065000	65.0	0.01	0.0	0.0	0.0	0.0	255.0	25071.0	0.500005	False	REGULAR	USD
42			2024-09-16		NVDA240920P00065500	65.5	0.01	0.0	0.0	0.0	0.0	240.0	13189.0	0.500005	False	REGULAR	USD
43			2024-09-16		NVDA240920P00066000	66.0	0.02	0.0	0.0	0.0	0.0	64.0	15137.0	0.500005	False	REGULAR	USD
44			2024-09-16		NVDA240920P00068000	68.0	0.01	0.0	0.0	0.0	0.0	325.0	20846.0	0.500005	False	REGULAR	USD
45			2024-09-16		NVDA240920P00070000	70.0	0.01	0.0	0.0	0.0	0.0	5752.0	40092.0	0.500005	False	REGULAR	USD
46			2024-09-16		NVDA240920P00071000	71.0	0.01	0.0	0.0	0.0	0.0	417.0	20341.0	0.500005	False	REGULAR	USD
47			2024-09-16		NVDA240920P00072000	72.0	0.01	0.0	0.0	0.0	0.0	732.0	16273.0	0.500005	False	REGULAR	USD
48			2024-09-16		NVDA240920P00073000	73.0	0.01	0.0	0.0	0.0	0.0	69.0	11556.0	0.500005	False	REGULAR	USD
49			2024-09-16		NVDA240920P00074000	74.0	0.01	0.0	0.0	0.0	0.0	593.0	11862.0	0.500005	False	REGULAR	USD
50			2024-09-16		NVDA240920P00075000	75.0	0.02	0.0	0.0	0.0	0.0	1080.0	28196.0	0.500005	False	REGULAR	USD
51			2024-09-16		NVDA240920P00076000	76.0	0.01	0.0	0.0	0.0	0.0	50.0	8689.0	0.500005	False	REGULAR	USD
52			2024-09-16		NVDA240920P00077000	77.0	0.01	0.0	0.0	0.0	0.0	14.0	10130.0	0.500005	False	REGULAR	USD
53			2024-09-16		NVDA240920P00078000	78.0	0.02	0.0	0.0	0.0	0.0	273.0	9086.0	0.500005	False	REGULAR	USD
54			2024-09-16		NVDA240920P00079000	79.0	0.02	0.0	0.0	0.0	0.0	44.0	8118.0	0.500005	False	REGULAR	USD
55			2024-09-16		NVDA240920P00080000	80.0	0.02	0.0	0.0	0.0	0.0	469.0	44190.0	0.500005	False	REGULAR	USD
56			2024-09-16		NVDA240920P00081000	81.0	0.02	0.0	0.0	0.0	0.0	2830.0	30558.0	0.500005	False	REGULAR	USD
57			2024-09-16		NVDA240920P00082000	82.0	0.02	0.0	0.0	0.0	0.0	748.0	22235.0	0.500005	False	REGULAR	USD
58			2024-09-16		NVDA240920P00083000	83.0	0.02	0.0	0.0	0.0	0.0	2690.0	11570.0	0.500005	False	REGULAR	USD
59			2024-09-16		NVDA240920P00084000	84.0	0.02	0.0	0.0	0.0	0.0	340.0	17320.0	0.500005	False	REGULAR	USD
60			2024-09-16		NVDA240920P00085000	85.0	0.03	0.0	0.0	0.0	0.0	2006.0	10330.0	0.500005	False	REGULAR	USD
61			2024-09-16		NVDA240920P00086000	86.0	0.03	0.0	0.0	0.0	0.0	703.0	24256.0	0.500005	False	REGULAR	USD
62			2024-09-16		NVDA240920P00087000	87.0	0.02	0.0	0.0	0.0	0.0	503.0	964.0	0.500005	False	REGULAR	USD
63			2024-09-16		NVDA240920P00088000	88.0	0.02	0.0	0.0	0.0	0.0	1347.0	19547.0	0.500005	False	REGULAR	USD
64			2024-09-16		NVDA240920P00089000	89.0	0.03	0.0	0.0	0.0	0.0	198.0	861.0	0.500005	False	REGULAR	USD
65			2024-09-16		NVDA240920P00090000	90.0	0.03	0.0	0.0	0.0	0.0	3407.0	71247.0	0.500005	False	REGULAR	USD
66			2024-09-16		NVDA240920P00091000	91.0	0.03	0.0	0.0	0.0	0.0	465.0	1569.0	0.500005	False	REGULAR	USD
67			2024-09-16		NVDA240920P00092000	92.0	0.03	0.0	0.0	0.0	0.0	409.0	21663.0	0.500005	False	REGULAR	USD
68			2024-09-16		NVDA240920P00093000	93.0	0.04	0.0	0.0	0.0	0.0	624.0	10489.0	0.500005	False	REGULAR	USD
69			2024-09-16		NVDA240920P00094000	94.0	0.03	0.0	0.0	0.0	0.0	880.0	9292.0	0.500005	False	REGULAR	USD
70			2024-09-16		NVDA240920P00095000	95.0	0.04	0.0	0.0	0.0	0.0	2149.0	45804.0	0.500005	False	REGULAR	USD
71			2024-09-16		NVDA240920P00096000	96.0	0.05	0.0	0.0	0.0	0.0	1212.0	11637.0	0.500005	False	REGULAR	USD
72			2024-09-16		NVDA240920P00097000	97.0	0.04	0.0	0.0	0.0	0.0	1297.0	18588.0	0.500005	False	REGULAR	USD
73			2024-09-16		NVDA240920P00098000	98.0	0.06	0.0	0.0	0.0	0.0	1692.0	18982.0	0.500005	False	REGULAR	USD
74			2024-09-16		NVDA240920P00099000	99.0	0.07	0.0	0.0	0.0	0.0	2053.0	12914.0	0.2500075	False	REGULAR	USD
75			2024-09-16		NVDA240920P00100000	100.0	0.07	0.0	0.0	0.0	0.0	17982.0	0.0	0.2500075	False	REGULAR	USD
76			2024-09-16		NVDA240920P00101000	101.0	0.08	0.0	0.0	0.0	0.0	2525.0	21489.0	0.2500075	False	REGULAR	USD
77			2024-09-16		NVDA240920P00102000	102.0	0.1	0.0	0.0	0.0	0.0	4023.0	15310.0	0.2500075	False	REGULAR	USD
78			2024-09-16		NVDA240920P00103000	103.0	0.11	0.0	0.0	0.0	0.0	3387.0	15917.0	0.2500075	False	REGULAR	USD
79			2024-09-16		NVDA240920P00104000	104.0	0.14	0.0	0.0	0.0	0.0	5367.0	21367.0	0.2500075	False	REGULAR	USD
80			2024-09-16		NVDA240920P00105000	105.0	0.19	0.0	0.0	0.0	0.0	14343.0	85761.0	0.2500075	False	REGULAR	USD
81			2024-09-16		NVDA240920P00106000	106.0	0.23	0.0	0.0	0.0	0.0	5996.0	12073.0	0.2500075	False	REGULAR	USD
82			2024-09-16		NVDA240920P00107000	107.0	0.3	0.0	0.0	0.0	0.0	11825.0	18222.0	0.2500075	False	REGULAR	USD
83			2024-09-16		NVDA240920P00108000	108.0	0.38	0.0	0.0	0.0	0.0	10467.0	0.0	0.12500875	False	REGULAR	USD
84			2024-09-16		NVDA240920P00109000	109.0	0.5	0.0	0.0	0.0	0.0	12177.0	13369.0	0.12500875	False	REGULAR	USD
85			2024-09-16		NVDA240920P00110000	110.0	0.64	0.0	0.0	0.0	0.0	52575.0	93611.0	0.12500875	False	REGULAR	USD
86			2024-09-16		NVDA240920P00111000	111.0	0.82	0.0	0.0	0.0	0.0	12597.0	13316.0	0.12500875	False	REGULAR	USD
87			2024-09-16		NVDA240920P00112000	112.0	1.03	0.0	0.0	0.0	0.0	26461.0	23570.0	0.12500875	False	REGULAR	USD
88			2024-09-16		NVDA240920P00113000	113.0	1.3	0.0	0.0	0.0	0.0	31350.0	0.0	0.062509375	False	REGULAR	USD
89			2024-09-16		NVDA240920P00114000	114.0	1.59	0.0	0.0	0.0	0.0	28829.0	17440.0	0.062509375	False	REGULAR	USD
90			2024-09-16		NVDA240920P00115000	115.0	1.94	0.0	0.0	0.0	0.0	74748.0	46538.0	0.0312596875	False	REGULAR	USD
91			2024-09-16		NVDA240920P00116000	116.0	2.38	0.0	0.0	0.0	0.0	59408.0	16367.0	0.015634843750000002	False	REGULAR	USD
92			2024-09-16		NVDA240920P00117000	117.0	2.86	0.0	0.0	0.0	0.0	33914.0	17938.0	1.0000000000000003e-05	True	REGULAR	USD
93			2024-09-16		NVDA240920P00118000	118.0	3.46	0.0	0.0	0.0	0.0	12042.0	14162.0	1.0000000000000003e-05	True	REGULAR	USD
94			2024-09-16		NVDA240920P00119000	119.0	4.01	0.0	0.0	0.0	0.0	10613.0	24041.0	1.0000000000000003e-05	True	REGULAR	USD
95			2024-09-16		NVDA240920P00120000	120.0	4.65	0.0	0.0	0.0	0.0	12808.0	73780.0	1.0000000000000003e-05	True	REGULAR	USD
96			2024-09-16		NVDA240920P00121000	121.0	5.38	0.0	0.0	0.0	0.0	1902.0	13147.0	1.0000000000000003e-05	True	REGULAR	USD
97			2024-09-16		NVDA240920P00122000	122.0	6.3	0.0	0.0	0.0	0.0	871.0	8064.0	1.0000000000000003e-05	True	REGULAR	USD
98			2024-09-16		NVDA240920P00123000	123.0	6.93	0.0	0.0	0.0	0.0	583.0	7890.0	1.0000000000000003e-05	True	REGULAR	USD
99			2024-09-16		NVDA240920P00124000	124.0	7.7	0.0	0.0	0.0	0.0	424.0	6461.0	1.0000000000000003e-05	True	REGULAR	USD
100			2024-09-16		NVDA240920P00125000	125.0	8.7	0.0	0.0	0.0	0.0	6305.0	37614.0	1.0000000000000003e-05	True	REGULAR	USD
101			2024-09-16		NVDA240920P00126000	126.0	9.78	0.0	0.0	0.0	0.0	3673.0	7015.0	1.0000000000000003e-05	True	REGULAR	USD
102			2024-09-16		NVDA240920P00127000	127.0	10.5	0.0	0.0	0.0	0.0	1049.0	5626.0	1.0000000000000003e-05	True	REGULAR	USD
103			2024-09-16		NVDA240920P00128000	128.0	11.4	0.0	0.0	0.0	0.0	260.0	7145.0	1.0000000000000003e-05	True	REGULAR	USD
104			2024-09-16		NVDA240920P00129000	129.0	12.48	0.0	0.0	0.0	0.0	139.0	12021.0	1.0000000000000003e-05	True	REGULAR	USD
105			2024-09-16		NVDA240920P00130000	130.0	13.3	0.0	0.0	0.0	0.0	423.0	16707.0	1.0000000000000003e-05	True	REGULAR	USD
106			2024-09-16		NVDA240920P00131000	131.0	14.9	0.0	0.0	0.0	0.0	45.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
107			2024-09-16		NVDA240920P00132000	132.0	15.6	0.0	0.0	0.0	0.0	218.0	1230.0	1.0000000000000003e-05	True	REGULAR	USD
108			2024-09-16		NVDA240920P00133000	133.0	16.23	0.0	0.0	0.0	0.0	110.0	202.0	1.0000000000000003e-05	True	REGULAR	USD
109			2024-09-16		NVDA240920P00134000	134.0	17.7	0.0	0.0	0.0	0.0	30.0	922.0	1.0000000000000003e-05	True	REGULAR	USD
110			2024-09-16		NVDA240920P00135000	135.0	18.65	0.0	0.0	0.0	0.0	17.0	83.0	1.0000000000000003e-05	True	REGULAR	USD
111			2024-09-16		NVDA240920P00136000	136.0	19.5	0.0	0.0	0.0	0.0	40.0	318.0	1.0000000000000003e-05	True	REGULAR	USD
112			2024-09-16		NVDA240920P00137000	137.0	20.62	0.0	0.0	0.0	0.0	17.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
113			2024-09-16		NVDA240920P00138000	138.0	21.05	0.0	0.0	0.0	0.0	6.0	23.0	1.0000000000000003e-05	True	REGULAR	USD
114			2024-09-16		NVDA240920P00139000	139.0	23.05	0.0	0.0	0.0	0.0	1.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
115			2024-09-16		NVDA240920P00140000	140.0	24.05	0.0	0.0	0.0	0.0	7.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
116			2024-09-16		NVDA240920P00141000	141.0	24.55	0.0	0.0	0.0	0.0	2.0	227.0	1.0000000000000003e-05	True	REGULAR	USD
117			2024-09-16		NVDA240920P00146000	146.0	29.5	0.0	0.0	0.0	0.0	7.0	22.0	1.0000000000000003e-05	True	REGULAR	USD
118			2024-09-16		NVDA240920P00150000	150.0	33.6	0.0	0.0	0.0	0.0	10.0	10.0	1.0000000000000003e-05	True	REGULAR	USD
119			2024-09-16		NVDA240920P00151000	151.0	34.68	0.0	0.0	0.0	0.0	1.0	1.0	1.0000000000000003e-05	True	REGULAR	USD
120			2024-09-16		NVDA240920P00153000	153.0	36.7	0.0	0.0	0.0	0.0	1.0	4.0	1.0000000000000003e-05	True	REGULAR	USD
121			2024-09-16		NVDA240920P00154000	154.0	37.55	0.0	0.0	0.0	0.0	4.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
122			2024-09-16		NVDA240920P00160000	160.0	43.6	0.0	0.0	0.0	0.0	5.0	4.0	1.0000000000000003e-05	True	REGULAR	USD
123			2024-09-16		NVDA240920P00164000	164.0	46.35	0.0	0.0	0.0	0.0	4.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
124			2024-09-16		NVDA240920P00170000	170.0	54.45	0.0	0.0	0.0	0.0	1.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
125			2024-09-16		NVDA240920C00000500	0.5	115.35	0.0	0.0	0.0	0.0	5.0	12936.0	1.0000000000000003e-05	True	REGULAR	USD
126			2024-09-16		NVDA240920C00001000	1.0	115.87	0.0	0.0	0.0	0.0	4.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
127			2024-09-16		NVDA240920C00002500	2.5	114.24	0.0	0.0	0.0	0.0	2.0	31.0	1.0000000000000003e-05	True	REGULAR	USD
128			2024-09-16		NVDA240920C00015000	15.0	101.92	0.0	0.0	0.0	0.0	6.0	633.0	1.0000000000000003e-05	True	REGULAR	USD
129			2024-09-16		NVDA240920C00017000	17.0	100.13	0.0	0.0	0.0	0.0	2.0	143.0	1.0000000000000003e-05	True	REGULAR	USD
130			2024-09-16		NVDA240920C00020000	20.0	96.39	0.0	0.0	0.0	0.0	2.0	594.0	1.0000000000000003e-05	True	REGULAR	USD
131			2024-09-16		NVDA240920C00021000	21.0	95.34	0.0	0.0	0.0	0.0	30.0	422.0	1.0000000000000003e-05	True	REGULAR	USD
132			2024-09-16		NVDA240920C00022000	22.0	94.89	0.0	0.0	0.0	0.0	5.0	828.0	1.0000000000000003e-05	True	REGULAR	USD
133			2024-09-16		NVDA240920C00024000	24.0	92.85	0.0	0.0	0.0	0.0	8.0	727.0	1.0000000000000003e-05	True	REGULAR	USD
134			2024-09-16		NVDA240920C00027000	27.0	89.85	0.0	0.0	0.0	0.0	5.0	461.0	1.0000000000000003e-05	True	REGULAR	USD
135			2024-09-16		NVDA240920C00033000	33.0	83.55	0.0	0.0	0.0	0.0	3.0	591.0	1.0000000000000003e-05	True	REGULAR	USD
136			2024-09-16		NVDA240920C00039000	39.0	77.77	0.0	0.0	0.0	0.0	1.0	1011.0	1.0000000000000003e-05	True	REGULAR	USD
137			2024-09-16		NVDA240920C00040000	40.0	76.42	0.0	0.0	0.0	0.0	4.0	11223.0	1.0000000000000003e-05	True	REGULAR	USD
138			2024-09-16		NVDA240920C00041000	41.0	75.68	0.0	0.0	0.0	0.0	7.0	5374.0	1.0000000000000003e-05	True	REGULAR	USD
139			2024-09-16		NVDA240920C00045000	45.0	71.18	0.0	0.0	0.0	0.0	53.0	6283.0	1.0000000000000003e-05	True	REGULAR	USD
