	Dividends_x	Stock Splits	Date	Dividends_y	contractSymbol	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
0	0.34156	0.0	2019-01-31	0.34156													
1	0.34156	0.0	2019-05-09	0.34156													
2	0.34156	0.0	2019-08-01	0.34156													
3	0.34156	0.0	2019-11-07	0.34156													
4	0.36053	0.0	2020-01-30	0.36053													
5	0.36053	0.0	2020-05-07	0.36053													
6	0.38	0.0	2020-07-30	0.38													
7	0.38	0.0	2020-11-05	0.38													
8	0.0	1.054	2020-11-17														
9	0.39	0.0	2021-01-28	0.39													
10	0.39	0.0	2021-05-06	0.39													
11	0.39	0.0	2021-07-29	0.39													
12	0.39	0.0	2021-11-04	0.39													
13	0.4	0.0	2022-01-27	0.4													
14			2024-08-05		PFE240920P00015000	15.0	0.02	0.0	0.0	0.0	0.0	2.0	10314.0	0.500005	False	REGULAR	USD
15			2024-08-16		PFE240920P00017500	17.5	0.01	0.0	0.01	0.0	0.0	381.0	17073.0	1.9375003125	False	REGULAR	USD
16			2024-08-30		PFE240920P00019000	19.0	0.02	0.0	0.0	0.0	0.0	1.0	1.0	0.500005	False	REGULAR	USD
17			2024-09-09		PFE240920P00020000	20.0	0.01	0.0	0.0	0.0	0.0	15.0	11899.0	0.500005	False	REGULAR	USD
18			2024-09-09		PFE240920P00034500	34.5	5.35	0.0	0.0	0.0	0.0	1.0	1.0	1.0000000000000003e-05	True	REGULAR	USD
19			2024-09-09		PFE240920C00036000	36.0	0.01	0.0	0.0	0.0	0.0	60.0	4340.0	0.500005	False	REGULAR	USD
20			2024-09-06		PFE240920P00021000	21.0	0.02	0.0	0.0	0.0	0.0	2.0	5674.0	0.500005	False	REGULAR	USD
21			2024-09-06		PFE240920C00023500	23.5	5.2	0.0	0.0	0.0	0.0	7.0	7.0	1.0000000000000003e-05	True	REGULAR	USD
22			2024-09-12		PFE240920P00022000	22.0	0.01	0.0	0.0	0.0	0.0	300.0	488.0	0.500005	False	REGULAR	USD
23			2024-09-12		PFE240920P00022500	22.5	0.01	0.0	0.0	0.0	0.0	20.0	19507.0	0.500005	False	REGULAR	USD
24			2024-09-12		PFE240920P00023500	23.5	0.01	0.0	0.0	0.0	0.0	85.0	489.0	0.500005	False	REGULAR	USD
25			2024-09-12		PFE240920P00034000	34.0	4.8	0.0	0.0	0.0	0.0	26.0	15.0	1.0000000000000003e-05	True	REGULAR	USD
26			2024-09-12		PFE240920P00035000	35.0	5.75	0.0	0.0	0.0	0.0	70.0	101.0	1.0000000000000003e-05	True	REGULAR	USD
27			2024-09-12		PFE240920P00040000	40.0	10.85	0.0	0.0	0.0	0.0	2.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
28			2024-09-12		PFE240920C00021000	21.0	8.15	0.0	0.0	0.0	0.0	1.0	4.0	1.0000000000000003e-05	True	REGULAR	USD
29			2024-09-12		PFE240920C00023000	23.0	6.05	0.0	0.0	0.0	0.0		72.0	1.0000000000000003e-05	True	REGULAR	USD
30			2024-09-12		PFE240920C00025500	25.5	3.55	0.0	0.0	0.0	0.0	1.0	11.0	1.0000000000000003e-05	True	REGULAR	USD
31			2024-09-13		PFE240920P00023000	23.0	0.01	0.0	0.0	0.0	0.0	300.0	917.0	0.500005	False	REGULAR	USD
32			2024-09-13		PFE240920C00024500	24.5	4.75	0.0	0.0	0.0	0.0		12.0	1.0000000000000003e-05	True	REGULAR	USD
33			2024-09-13		PFE240920C00026500	26.5	2.64	0.0	0.0	0.0	0.0	1.0	12.0	1.0000000000000003e-05	True	REGULAR	USD
34			2024-09-13		PFE240920C00033000	33.0	0.01	0.0	0.0	0.0	0.0	46.0	579.0	0.2500075	False	REGULAR	USD
35			2024-09-16		PFE240920P00024000	24.0	0.01	0.0	0.0	0.0	0.0	4.0	12998.0	0.500005	False	REGULAR	USD
36			2024-09-16		PFE240920P00024500	24.5	0.01	0.0	0.0	0.0	0.0	1.0	317.0	0.500005	False	REGULAR	USD
37			2024-09-16		PFE240920P00025000	25.0	0.04	0.0	0.0	0.0	0.0	6.0	37667.0	0.500005	False	REGULAR	USD
38			2024-09-16		PFE240920P00025500	25.5	0.01	0.0	0.0	0.0	0.0	1.0	0.0	0.500005	False	REGULAR	USD
39			2024-09-16		PFE240920P00026000	26.0	0.01	0.0	0.0	0.0	0.0	30.0	28442.0	0.2500075	False	REGULAR	USD
40			2024-09-16		PFE240920P00026500	26.5	0.01	0.0	0.0	0.0	0.0	62.0	268.0	0.2500075	False	REGULAR	USD
41			2024-09-16		PFE240920P00027000	27.0	0.01	0.0	0.0	0.0	0.0	358.0	10826.0	0.2500075	False	REGULAR	USD
42			2024-09-16		PFE240920P00027500	27.5	0.01	0.0	0.0	0.0	0.0	492.0	56426.0	0.2500075	False	REGULAR	USD
43			2024-09-16		PFE240920P00028000	28.0	0.01	0.0	0.0	0.0	0.0	951.0	5551.0	0.2500075	False	REGULAR	USD
44			2024-09-16		PFE240920P00028500	28.5	0.03	0.0	0.0	0.0	0.0	1481.0	7260.0	0.12500875	False	REGULAR	USD
45			2024-09-16		PFE240920P00029000	29.0	0.05	0.0	0.0	0.0	0.0	6124.0	30452.0	0.12500875	False	REGULAR	USD
46			2024-09-16		PFE240920P00029500	29.5	0.1	0.0	0.0	0.0	0.0	2126.0	2218.0	0.062509375	False	REGULAR	USD
