	Dividends_x	Stock Splits	Date	Dividends_y	Holder_holder	Shares_holder	% Out_holder	Value_holder
0	0.062292	0.0	2019-01-30	0.062292				
1	0.062292	0.0	2019-04-29	0.062292				
2	0.095833	0.0	2019-10-30	0.095833				
3	0.0	1.0434782608695652	2020-11-16					
4	0.0275	0.0	2021-04-30	0.0275				
5	0.0485	0.0	2021-10-29	0.0485				
6	0.0515	0.0	2022-04-28	0.0515				
7	0.0583	0.0	2022-10-31	0.0583				
8	0.0595	0.0	2023-04-27	0.0595				
9	0.081	0.0	2023-10-31	0.081				
10	0.095	0.0	2024-04-29	0.095				
11			2024-06-30		Edgar Lomax Co/VA	10.94k	0.0	49503.0
12			2024-06-30		Dodge & Cox International Stock Fund	305.16M	0.0197	1380859038.0
13			2024-06-30		Vanguard Tax Managed Fund-Vanguard Developed Markets Index Fund	130.7M	0.0084	591422073.0
14			2024-06-30		Dodge & Cox Global Stock Fund	41.24M	0.0027	186617696.0
15			2024-06-30		Bridge Builder Tr-Bridge Builder International Equity Fd	33.72M	0.0022	152561477.0
16			2024-04-30		Vanguard International Stock Index-Total Intl Stock Indx	221.13M	0.0143	1000591415.0
17			2024-04-30		DFA International Value Series	33.83M	0.0022	153071793.0
18			2024-04-30		Vanguard International Stock Index-Vanguard European Stock Index	33.05M	0.0021	149571841.0
19			2024-07-31		Fidelity Series International Value Fund	73.42M	0.004699999999999999	332214520.0
20			2024-07-31		Fidelity International Index Fund	47.84M	0.0031	216457886.0
21			2024-07-31		Fidelity Strategic Advisers International Fund	32.61M	0.0021	147570402.0
