	Dividends_x	Stock Splits	Date	Dividends_y	Holder_holder	Shares_holder	% Out_holder	Value_holder
0	0.65	0.0	2023-11-30	0.65				
1	0.65	0.0	2024-02-29	0.65				
2	0.65	0.0	2024-05-31	0.65				
3	0.65	0.0	2024-08-30	0.65				
4			2024-06-30		Softbank Group Corporation	85.36M	0.0732	17571575751.0
5			2024-06-30		Vanguard Group Inc	45.35M	0.038900000000000004	9335900505.0
6			2024-06-30		Blackrock Inc.	36.73M	0.0315	7561180322.0
7			2024-06-30		Price (T.Rowe) Associates Inc	24.31M	0.0208	5004417851.0
8			2024-06-30		State Street Corporation	23.67M	0.0203	4871746287.0
9			2024-06-30		Norges Bank Investment Management	15.15M	0.013000000000000001	3117875210.0
10			2024-06-30		Wellington Management Group, LLP	14.92M	0.0128	3071640887.0
11			2024-06-30		Morgan Stanley	13.25M	0.011399999999999999	2727818679.0
12			2024-06-30		Geode Capital Management, LLC	12.01M	0.0103	2472508681.0
13			2024-06-30		FMR, LLC	11.37M	0.0097	2340797819.0
14			2024-06-30		Vanguard Total Stock Market Index Fund	16.66M	0.0143	3429529443.0
15			2024-06-30		Vanguard 500 Index Fund	13.23M	0.0113	2724162989.0
16			2024-06-30		Dodge & Cox Stock Fund	7.31M	0.0063	1504647651.0
17			2024-06-30		Vanguard Growth Index Fund	5.35M	0.0046	1102268115.0
18			2024-06-30		Vanguard Institutional Index Fund-Institutional Index Fund	3.35M	0.0029	689844746.0
19			2024-08-31		Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF	22.62M	0.0194	4657017764.0
20			2024-08-31		SPDR S&P 500 ETF Trust	6.11M	0.0052	1258349353.0
21			2024-08-31		SPDR (R) Idx Shares-SPDR Communication Services Select Sector ETF	4.47M	0.0038	920728583.0
22			2024-07-31		Fidelity 500 Index Fund	6.3M	0.0054	1297490909.0
23			2024-07-31		iShares Core S&P 500 ETF	5.58M	0.0048	1148772719.0
