Open	High	Low	Close	Volume	Date
25.0100	25.0100	24.8100	24.9100	610	2023-01-03 04:00:00
25.2400	25.2400	25.2400	25.2400	200	2023-01-03 05:15:00
25.0300	25.0300	25.0300	25.0300	3158	2023-01-03 06:00:00
25.0100	25.0100	24.9600	24.9600	756	2023-01-03 06:45:00
24.9500	25.0000	24.9300	24.9500	4023	2023-01-03 07:00:00
24.9900	25.0000	24.9600	24.9600	1647	2023-01-03 07:15:00
25.0000	25.0000	25.0000	25.0000	1021	2023-01-03 07:30:00
25.0100	25.0700	24.9700	25.0600	6068	2023-01-03 07:45:00
24.8272	25.0800	24.8272	24.9500	50274	2023-01-03 08:00:00
24.9500	25.0500	24.9500	25.0500	16810	2023-01-03 08:15:00
25.0400	25.0500	25.0000	25.0400	7262	2023-01-03 08:30:00
25.0400	25.0700	25.0000	25.0500	15730	2023-01-03 08:45:00
25.0100	25.1400	25.0100	25.1400	9505	2023-01-03 09:00:00
25.1700	25.4500	25.1300	25.4500	31902	2023-01-03 09:15:00
25.3700	25.7500	25.2500	25.6750	1966617	2023-01-03 09:30:00
25.6800	25.7100	25.0900	25.1000	966660	2023-01-03 09:45:00
25.1000	25.2850	25.0200	25.1499	640923	2023-01-03 10:00:00
25.1500	25.2200	25.0700	25.1750	542172	2023-01-03 10:15:00
25.1800	25.3400	25.0800	25.1700	456206	2023-01-03 10:30:00
25.1650	25.4800	25.1600	25.4800	855273	2023-01-03 10:45:00
25.4800	25.5000	25.2900	25.3050	363583	2023-01-03 11:00:00
25.3100	25.3400	25.2350	25.3282	433707	2023-01-03 11:15:00
25.3400	25.3800	25.2700	25.3200	691360	2023-01-03 11:30:00
25.3200	25.3950	25.2900	25.3550	560654	2023-01-03 11:45:00
25.3600	25.4550	25.2900	25.3150	382372	2023-01-03 12:00:00
25.3190	25.3400	25.1300	25.1667	498468	2023-01-03 12:15:00
25.1700	25.2750	25.1650	25.1800	328699	2023-01-03 12:30:00
25.1700	25.1800	25.0500	25.1550	367721	2023-01-03 12:45:00
25.1550	25.2300	25.1300	25.1600	343864	2023-01-03 13:00:00
25.1550	25.2500	25.1300	25.2150	352538	2023-01-03 13:15:00
25.2150	25.2700	25.1800	25.2450	395522	2023-01-03 13:30:00
25.2450	25.3400	25.2050	25.3150	494209	2023-01-03 13:45:00
25.3200	25.3450	25.1600	25.1850	753504	2023-01-03 14:00:00
25.1900	25.2150	25.1450	25.1750	314282	2023-01-03 14:15:00
25.1800	25.2300	25.0935	25.2200	472472	2023-01-03 14:30:00
25.2150	25.4000	25.2150	25.3700	533187	2023-01-03 14:45:00
25.3700	25.4900	25.3500	25.4900	572492	2023-01-03 15:00:00
25.4900	25.5400	25.4300	25.4600	535837	2023-01-03 15:15:00
25.4600	25.5200	25.4100	25.4200	795818	2023-01-03 15:30:00
25.4137	25.5000	25.3100	25.3650	2484956	2023-01-03 15:45:00
25.3600	25.3600	25.3000	25.3400	1254160	2023-01-03 16:00:00
25.3200	25.3200	25.1100	25.3200	2731	2023-01-03 16:15:00
